OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,1668,3249,5002,7076,7359,4911,1808,6596,8890,537
+,1477,4471,3514,7970,1963,1995,9720,7986,8074,738
+,8778,1493,8120,9840,7779,1199,1061,3921,2705,1594
+,8704,8269,2039,6130,592,1356,8710,394,7572,4330
-,9085,1753,8173,6017,4703,7216,2189,8662,5685,6798
+,554,8808,7498,9375,7782,1798,2322,4319,8656,1288
+,6238,3472,7852,998,8702,6234,1281,5291,262,3373
+,5305,2468,2207,9466,946,4954,8657,7130,9709,5130
+,4304,2659,7586,2001,3835,8408,9828,6606,8636,5546
+,2279,1147,6044,643,2767,7783,1634,3068,6452,563
+,3870,8409,4919,864,6646,8105,9641,1637,8338,840
+,6135,8699,4126,7358,5479,4249,5578,1399,5839,5966
+,2375,1995,240,3388,8295,3612,7083,1448,995,6292
+,3531,7109,8651,470,4240,6910,7236,6774,7078,2630
+,6125,6682,2719,1710,3361,1911,489,4069,5105,4760
-,4464,2362,5497,4558,9220,3635,341,6918,1966,7097
+,3062,3696,3277,2994,2079,8277,993,7248,1212,3594
+,2306,3315,1481,5153,3524,294,3442,7793,2105,7024
+,7964,1302,1453,945,2968,9773,9800,3436,7587,8557
+,7755,4823,1745,4132,3078,5580,279,3597,245,6777
+,490,514,8689,6332,1416,7179,1566,69,5284,1354
+,1061,5432,1359,725,6345,252,2655,4645,6310,1618
+,7849,5810,9345,7136,430,6841,3745,3873,6938,6178
+,3115,9324,1813,1819,6908,2006,3865,5312,2862,7973
+,7010,3598,9439,2557,1250,3357,6428,6587,167,8368
+,945,9126,3578,9700,183,8066,2355,368,4447,5231
-,1668,3249,5002,7076,7359,4911,1808,6596,8890,537
+,8827,4957,1573,390,2757,6743,2829,197,21,1229
+,1066,3557,6458,42,5018,1968,8864,6800,4435,1080
+,6284,8368,2371,7046,2742,5976,7629,6257,7873,5513
+,6914,7899,9077,3887,7900,3329,3443,3690,295,7297
+,539,2619,6572,6563,6675,5067,2076,8961,8274,1638
+,3152,5598,884,1158,6085,8864,3028,687,6596,1248
+,4187,2285,9757,5863,7931,4469,5864,5577,6498,4856
+,8060,1510,7512,2946,1327,2084,7485,8250,9431,3644
+,9924,4973,1055,1445,764,2753,5864,516,6935,5029
+,682,8186,8179,3404,1581,2555,1201,3061,1120,7554
-,8060,1510,7512,2946,1327,2084,7485,8250,9431,3644
+,200,7582,7668,5252,231,87,1175,2777,5672,1985
+,4530,9821,5816,4172,8130,7110,6466,5344,7736,4796
+,9413,2213,5810,1862,1170,9331,8025,1222,5650,6074
+,5889,4025,8168,3314,2600,4132,4806,5975,5027,2933
+,2949,1629,5959,6833,4118,7147,4815,5558,5494,3673
+,7673,3923,1545,7307,4300,8285,5452,2601,156,9442
+,3215,1294,8382,8863,5388,8114,9508,2618,8293,4940
+,9116,9008,8488,6616,9217,1596,6912,2336,3503,885
+,2395,7656,1363,4785,652,1900,6300,5678,3122,2413
+,1951,9760,5675,1443,1671,8944,8901,8746,9210,7237
-,9991,5353,7178,6391,107,9047,6397,6231,9568,4075
+,3239,3310,7559,4458,6302,7572,1442,3829,3125,5732
+,8702,7415,866,7253,337,1025,4590,6856,170,7899
+,889,608,9942,3502,9589,9863,4092,3355,2040,161
+,9840,2927,6378,1526,5556,9068,8011,2528,1898,2383
+,664,7384,3435,8865,5479,5109,4065,3668,1918,8917
+,9746,3487,4982,5029,9447,4345,8556,9999,3051,3920
+,5129,3847,5661,6355,4712,6660,470,4352,7632,4593
+,9363,4382,6715,5022,5165,1940,8762,669,5938,4636
+,9610,9217,2748,9369,3707,7136,4839,9962,5233,4551
+,7919,9267,774,834,4352,7041,6181,788,8048,7297
-,1255,1987,9444,6918,6366,7249,1104,5983,1567,8303
+,8480,2828,8902,4585,5846,4920,6334,4576,6663,1061
+,2019,8911,7763,5446,9163,47,1057,1325,2927,6281
+,4047,1674,2393,5501,7166,5478,9596,2412,5220,7160
+,5724,292,7512,8656,9370,6855,2269,9569,7271,5976
+,8296,8356,5250,8437,2822,721,9510,6319,3043,7066
+,8013,1059,9068,101,3386,8691,6933,4562,1420,2435
+,3872,2780,3014,4163,1961,6460,8140,2458,5622,190
+,9439,8293,5025,4836,2641,7739,7523,8180,6087,4764
+,9011,6588,3754,2113,2514,5884,2208,4514,4656,6182
+,632,949,7642,2321,1195,2062,8344,2580,5595,5997
-,3215,1294,8382,8863,5388,8114,9508,2618,8293,4940
+,4074,3373,9142,8582,7644,9540,5853,8518,9443,4079
+,224,612,7051,6821,6823,3118,5488,4321,1314,5265
+,608,4026,2225,1414,3776,130,1659,2325,47,2303
+,1458,6959,5517,7824,1934,7201,7389,2491,6922,7733
+,2542,1984,4330,2133,9143,1759,4929,6737,4529,5814
+,9097,4918,7341,9251,9760,426,1024,3000,2505,1478
+,5257,6756,6386,1530,3288,6475,3621,106,4176,6725
+,7243,1338,8940,2399,6277,7206,7599,1473,2878,2387
+,2327,3985,1811,158,2406,4774,7670,2983,2305,9461
+,7581,1691,2111,4882,7244,2440,1248,1274,8548,6204
-,9840,2927,6378,1526,5556,9068,8011,2528,1898,2383
+,9059,5562,5647,4060,3650,8919,9058,8233,1311,5028
+,9147,1840,4630,6760,2708,1064,5889,8504,1857,5391
+,6866,1732,2511,2006,2048,1419,5290,3224,1981,2299
+,9987,572,1537,8791,9949,4821,7579,9758,2364,833
+,569,2085,6983,1606,6561,9799,3031,7298,1854,5244
+,2712,9966,7184,2777,7624,4645,5863,8801,1986,6335
+,6979,3197,5477,3859,5118,7970,3199,279,9018,4413
+,210,5083,1217,7057,2816,4301,9395,8619,9730,3289
+,2822,4233,9357,6243,5839,1701,5850,9725,6489,5038
+,5859,9753,9503,7357,8408,3433,5334,6153,1154,3640
-,3284,1322,9875,2381,6742,3637,4834,2169,6355,1858
+,4688,7959,5095,9604,485,6941,7359,4542,1009,1033
+,8934,126,3492,4168,1941,9358,9034,4331,3895,1441
+,5546,9854,2120,486,2823,8069,1181,7734,4864,1886
+,3819,4232,2815,5884,7606,3938,9076,9434,3590,1078
+,7003,5660,1034,8638,761,3457,4922,6260,2295,4137
+,141,5129,2513,4142,6108,4258,8820,7406,8772,6761
+,4373,625,4920,1666,2406,8056,530,1034,7059,1429
+,5053,8171,8023,2691,9790,8333,5340,4896,1716,4555
+,2987,6036,7299,8934,9546,8358,4963,3075,8490,9488
+,9257,7960,311,1248,2400,1511,6681,892,1880,8682
-,1046,8945,3045,2787,9177,72,9304,2795,2815,998
+,2945,2186,2170,6005,646,5494,1630,1099,1513,3981
+,8140,342,5609,3121,8717,656,5310,4972,2298,1135
+,784,2171,5037,7312,3665,5971,7601,9299,6942,8243
+,4683,8365,74,9079,6444,7099,3900,9946,283,7283
+,389,7493,9137,7418,2427,7795,51,8669,6766,8932
+,5205,9457,9197,4339,5061,3874,7034,9240,8776,2056
+,3496,51,1471,8278,4175,5722,2830,4700,4600,5530
+,1853,6516,5391,9776,3155,5305,283,9354,1721,5087
+,9400,4100,4988,5317,5399,8275,7060,36,426,8771
+,1965,387,9848,7380,5435,1969,5111,5817,378,3872
-,5129,3847,5661,6355,4712,6660,470,4352,7632,4593
+,107,3451,1235,6363,1589,163,4651,1635,5312,4343
+,3472,8925,71,5152,8614,7972,825,5171,4719,8699
+,8840,4301,2390,5833,9243,70,4276,8702,1104,4108
+,5302,5297,3569,1957,5267,9814,4219,9338,2490,1536
+,6064,3708,6689,2531,8767,8455,5849,7091,3839,872
+,8822,3618,8063,2007,3407,8521,5817,3178,5059,9043
+,1825,1886,2727,4028,9251,3936,4914,1953,6750,5636
+,3335,5809,9235,1794,3866,268,6869,6880,2139,2030
+,9371,7539,1328,3125,3882,2188,1872,2741,3759,471
+,5369,5863,1091,8630,5065,6063,430,5305,925,4439
-,4683,8365,74,9079,6444,7099,3900,9946,283,7283
+,2172,3957,8945,4013,1256,705,7621,5205,1956,3530
+,537,9084,6594,7227,461,3742,6856,1613,3519,2613
+,5589,6118,5947,7442,276,804,4258,5349,9508,7055
+,6877,7261,9018,2745,1079,1197,9390,8779,1082,7562
+,9334,5508,9190,7237,4166,255,7801,2896,3301,549
+,228,9828,4815,2051,3776,4508,2731,1797,1864,5507
+,2514,4296,9932,28,132,8939,6482,8105,9053,6417
+,3285,3929,7692,7357,9193,455,5482,4498,7374,5351
+,991,6380,6643,3402,8693,7640,6979,7937,35,5715
+,7830,1316,7708,1595,5570,9357,9963,348,7455,5406
-,2819,3765,8434,392,7903,2903,7674,7705,6970,5066
+,8384,4907,4272,2481,2821,6263,7196,4113,9921,1873
+,2211,9530,1519,4530,2306,6185,3101,3331,3197,6513
+,958,5312,5152,5995,6272,4683,6310,4926,8144,6232
+,5175,8094,6468,670,8604,3864,3940,3447,8824,4876
+,7046,4189,7853,1757,6463,191,3639,5908,2002,9344
+,2537,7607,3519,7052,6084,7114,271,4694,1664,2731
+,4151,969,2776,5886,9178,1062,9148,4094,6095,7360
+,1294,9349,6239,5936,4837,6044,3817,3753,1518,9751
+,8178,7228,1007,7447,8831,9003,1734,5655,6393,5804
+,5634,5465,7759,3646,9431,9133,3665,6890,5612,2444
-,9371,7539,1328,3125,3882,2188,1872,2741,3759,471
+,3445,2135,1259,2720,2461,1224,5946,1717,9896,5560
+,1339,2613,4012,4194,9948,3175,1241,6807,4094,181
+,1108,1330,3354,9062,2744,7114,9969,8147,4673,1595
+,7109,7331,796,3535,9256,7482,2517,7052,1125,4895
+,1760,6649,4968,9292,8310,4564,2039,7192,5351,6091
+,4554,852,2521,3687,3582,5800,9771,8275,6386,3456
+,570,8090,1539,8350,2369,616,8752,6766,3824,6469
+,7630,4376,854,8046,9099,1120,4324,8093,382,6823
+,8659,7192,3433,2818,726,8559,3475,7289,2614,9972
+,3887,6950,1149,2832,7179,2278,4832,506,4348,1727
-,1108,1330,3354,9062,2744,7114,9969,8147,4673,1595
+,6120,2049,532,6123,6955,2522,8857,8169,707,3206
+,2922,6745,8556,5788,9160,4555,9137,336,9272,9397
+,3208,5742,8131,3117,6509,4560,8015,4782,9836,5347
+,8192,8952,5173,5795,1224,7879,2040,8050,1709,856
+,2582,126,7808,8944,9561,7589,3006,596,6762,9993
+,4447,6378,3969,5148,6486,6557,463,1809,845,1426
+,7117,3428,9894,5240,8831,8375,2130,39,9830,1894
+,6857,2754,4617,1749,8405,5361,4809,3656,3639,5743
+,1240,9950,2686,4004,1298,5313,450,764,9754,9036
+,1190,606,6020,8779,4994,7261,9464,2114,3926,5055
-,3472,8925,71,5152,8614,7972,825,5171,4719,8699
+,9075,9012,9810,771,4249,9609,5965,2390,2545,2904
+,3985,4712,6873,3942,5341,2065,920,8381,8620,8643
+,3606,86,8856,1055,9366,6200,5039,9086,1471,9106
+,7467,4853,8365,8755,7152,2224,6212,7470,3228,3269
+,6814,8036,9174,5256,3586,4602,2691,288,4336,5162
+,4100,405,7880,2335,9774,2795,4990,1366,38,3893
+,342,6977,4220,743,8789,7768,1116,5314,8195,4526
+,1054,393,9573,6185,9792,494,6450,306,2548,5762
+,2411,4258,5521,6653,2045,9558,7994,8226,5538,5874
+,135,3669,4762,4269,1890,9329,8268,6170,388,8336
-,8192,8952,5173,5795,1224,7879,2040,8050,1709,856
+,7457,584,5546,5377,2298,4830,4743,2124,7869,2645
+,8575,3365,2474,4041,1378,1763,162,4937,9115,2923
+,1354,5056,5322,4001,8441,5692,1818,6761,6158,9820
+,7129,2941,6541,7116,5947,3271,2541,7628,2438,3199
+,6925,3784,7796,401,5745,9101,8732,3368,6725,2831
+,1010,4844,1921,6552,4202,721,2846,1173,3641,2918
+,844,9630,479,6948,1418,6139,2899,8338,6563,8237
+,9254,6624,7423,8834,7200,1492,3321,5147,2459,1424
+,2374,8320,2402,40,2419,5186,2565,5127,7278,7724
+,3465,8756,9367,3210,714,6727,4283,5421,8391,935
-,5827,4869,650,6444,475,9098,9538,6326,9795,5674
+,3681,5612,8049,8262,6,7374,4749,7151,6371,2972
+,8326,5602,731,2230,7558,6213,7533,165,1307,3215
+,3184,1657,8396,9602,7316,5621,8498,7771,4692,648
+,8072,207,8275,1369,3948,8598,5974,1320,8093,5450
+,1537,4737,4986,7337,7899,9636,1180,1074,7385,5016
+,7879,4901,3400,8995,1840,6384,8372,9037,669,1648
+,1247,5240,5050,2728,6915,7074,325,5867,6785,3954
+,6552,9152,5601,5877,7401,2740,8949,2943,41,6127
+,6181,3265,7548,2929,3988,6213,1700,279,6873,5516
+,8912,3053,6915,6984,5149,9967,3248,8379,2979,4963
-,2945,2186,2170,6005,646,5494,1630,1099,1513,3981
+,3749,3196,3402,6884,6613,4544,5142,1165,6287,9421
+,4597,4632,9598,414,1968,4849,155,4814,4193,3678
+,3838,3667,4116,1584,1401,7112,2360,8620,7725,2086
+,7745,4653,606,2029,5586,2604,2521,4454,1186,4087
+,1949,1064,5841,9342,7101,5215,9943,4106,6487,879
+,5042,5668,8462,3440,711,3886,535,9666,8710,5223
+,3324,7817,8131,4926,3854,3372,6387,5353,1021,4546
+,4627,6242,9536,9127,4559,9541,9945,1436,7195,8213
+,8714,6177,3891,250,6036,1112,4036,4076,2272,5701
+,180,7910,7174,7075,8588,2795,6949,824,7749,8492
-,2327,3985,1811,158,2406,4774,7670,2983,2305,9461
+,2721,1679,2870,8379,5364,8608,576,9426,3338,9396
+,3577,4549,1272,8321,1486,6947,9048,7113,6915,3661
+,4753,1697,7870,9718,3979,7567,5988,3677,9706,8470
+,4991,4035,4546,9958,9918,8578,4313,6098,159,1174
+,5458,4036,8795,2129,1970,119,3800,7419,3200,2812
+,5134,3240,9301,3005,3192,9694,5237,6907,2248,291
+,9774,6856,6595,7977,7057,9928,7931,955,6786,8238
+,9668,1242,5512,544,2211,9586,5961,3802,570,5846
+,5578,8211,6558,4347,3107,789,942,4388,3567,932
+,1790,5807,1353,3279,3699,7131,7468,654,9648,6638
-,6857,2754,4617,1749,8405,5361,4809,3656,3639,5743
+,9249,7732,6944,1709,9041,6386,2087,7038,9947,3013
+,5797,976,1067,1879,9095,5741,9014,6807,9861,3889
+,1264,884,8719,5839,3355,1650,7251,1796,9398,569
+,9591,5649,4057,2364,276,1598,3767,4510,1176,9800
+,7664,9538,5498,1206,942,3108,8763,6514,1801,5571
+,4905,6894,3096,3337,9175,9446,7113,7740,1855,8606
+,6679,9914,7569,6374,4748,6538,3440,1061,8434,7151
+,5278,9468,6580,8056,4218,2602,7514,1184,6014,9110
+,2929,4103,6647,4876,7105,7064,4818,4026,1291,7687
+,1482,840,4821,6269,4789,9458,7840,9929,4323,3326
-,8912,3053,6915,6984,5149,9967,3248,8379,2979,4963
+,363,5383,4387,5588,755,4184,5452,7216,3774,6137
+,743,3707,7716,8754,5074,1282,9990,1979,5235,4870
+,8572,9418,326,9476,2126,3705,3859,3087,9241,4080
+,3853,3598,4714,502,9220,3694,6101,6336,6778,7848
+,9511,7460,5656,7193,9709,7086,6393,9362,9144,5778
+,767,1660,2367,5769,1089,8779,7766,9009,1410,2384
+,3330,8422,4048,6220,1307,3053,8075,7170,9867,9000
+,1710,5374,948,9529,3760,7670,6397,6880,5190,9343
+,6313,2670,291,6221,9735,9110,6117,9463,2773,9268
+,6197,2903,9937,9161,9847,3572,3074,3052,9595,4068
-,6924,9804,4251,9593,4220,8162,7248,4463,9458,270
+,726,8168,4212,7815,3277,976,9745,4529,7298,7985
+,9142,6931,5390,3976,109,1689,7216,9616,6861,927
+,3423,6041,598,74,4147,4700,8497,9191,8736,1625
+,3765,378,9427,1336,3273,2508,2881,6426,3431,5935
+,5928,1407,1193,5398,3768,7835,8055,4539,985,5829
+,2157,3478,9167,8892,7927,5645,5469,9300,1097,4713
+,2197,7150,3439,703,7239,9638,2392,799,7122,6440
+,5421,5833,6871,4315,4592,7125,4573,5559,7052,1529
+,4635,5020,5144,4769,5827,4626,9788,6826,7686,3306
+,1398,7777,1570,9487,9393,207,4892,8250,3596,7384
-,7581,1691,2111,4882,7244,2440,1248,1274,8548,6204
+,3977,6685,8034,8098,4680,3373,1380,9906,7680,5594
+,8456,7207,3275,7989,9097,1004,5428,2838,7796,6770
+,6,5659,9985,7913,611,434,7830,4332,5228,8746
+,5654,6316,2654,2155,1764,9569,5544,9614,4326,6490
+,5685,824,9668,6923,896,2462,509,5103,6368,1302
+,716,8205,901,4224,861,3232,3812,910,2468,371
+,1801,6330,8887,6334,9247,4244,1521,7698,143,9809
+,1373,5894,2790,9738,2727,346,2587,4863,2273,9414
+,3928,6668,4725,6342,8540,7066,3902,9247,6948,6987
+,8711,3913,144,475,5271,5371,5818,1552,4391,1063
-,9610,9217,2748,9369,3707,7136,4839,9962,5233,4551
+,3109,7668,3023,6912,9075,511,2210,5942,5086,4915
+,6969,3377,9197,840,325,9467,1279,7249,2258,2051
+,275,2364,2622,2618,8569,903,2907,8124,9982,292
+,459,8378,2983,5666,8367,3301,2834,2236,610,6561
+,3317,9596,5814,7618,3907,8726,2343,17,32,3759
+,1472,7915,5996,9799,7122,5453,1883,6719,4239,2358
+,3073,3395,440,5222,8552,3441,5271,7377,5126,928
+,3508,1317,9015,8393,8919,6096,69,641,6373,2767
+,2591,4150,3629,2488,1033,9081,4067,4971,9534,5827
+,5653,6167,6791,5352,4133,3449,37,3698,5722,1285
-,6313,2670,291,6221,9735,9110,6117,9463,2773,9268
+,8843,4348,7981,5210,8959,5896,7732,2334,6707,3899
+,1469,6571,872,8694,2537,290,7678,9326,3007,5937
+,5296,4776,8266,2037,6962,9740,8151,8155,4394,9085
+,1338,405,6831,9538,6014,1640,1073,1220,1821,3149
+,499,4305,3379,6949,991,3035,5293,5520,9381,7072
+,9039,4357,3001,5723,328,5839,637,6374,3413,4845
+,7405,2110,8236,1129,418,3696,4590,2995,1610,985
+,2849,544,8534,5481,2069,6113,8246,3463,1880,6630
+,8521,7716,582,4144,6505,418,5032,3109,5673,9330
+,5966,9482,9719,1424,605,5015,7972,6628,4059,7613
-,7467,4853,8365,8755,7152,2224,6212,7470,3228,3269
+,5288,5075,9410,5269,3515,8257,3972,5691,283,383
+,9850,5501,8657,2825,1867,1246,9610,6927,9077,6872
+,2113,3413,3729,9394,3552,9737,3169,3977,7938,4024
+,5402,7197,899,7596,8913,6323,9644,7907,4777,5266
+,3427,7120,3961,2028,4588,1417,7180,7699,1255,9819
+,2154,1680,696,5030,4932,7292,8831,7351,5811,7488
+,2018,3271,5807,9409,1026,8164,7199,3178,9134,2925
+,5838,1647,3041,2720,6068,7354,3724,8239,5947,8049
+,5136,9019,423,7918,288,2344,5961,2812,5301,2920
+,8814,3093,4879,7178,3209,4996,3734,9830,2146,4839
-,8822,3618,8063,2007,3407,8521,5817,3178,5059,9043
+,3200,2814,6843,4517,3577,917,8192,1811,1477,5785
+,8126,8878,3194,882,896,5874,4734,4343,2669,6078
+,4164,6020,2774,7324,4992,974,9889,5608,7108,1755
+,8837,8360,6150,7633,5571,2556,6038,2558,3406,6799
+,8012,7810,6230,6710,1091,5016,8793,3846,7107,312
+,3146,2998,891,491,3790,920,2687,4973,6481,3474
+,2950,438,1854,8413,7544,8027,8408,3223,5038,193
+,4005,3993,7413,4245,3814,5837,3094,4765,841,4310
+,9718,9740,6746,3743,3918,6353,4709,7697,700,8694
+,5049,5593,5843,137,2570,3555,2263,1379,2412,711
-,2395,7656,1363,4785,652,1900,6300,5678,3122,2413
+,6369,2388,1288,7911,6454,3309,71,4917,2682,6198
+,277,4016,2746,9629,4787,612,1066,938,9582,5869
+,3084,7543,1239,4107,2680,1766,208,4429,4647,7251
+,2510,8300,2934,5184,1513,9511,6442,8458,6105,2041
+,1124,8953,2429,9535,5617,6224,4903,8170,148,9434
+,3087,1929,8223,4564,7940,7196,1587,8502,2749,2954
+,5249,2841,5850,1877,895,1998,8510,3016,9955,8235
+,9227,9825,4781,8575,9964,7935,7753,5222,8101,3398
+,9337,8871,932,7883,4928,6704,6791,2328,5968,777
+,3604,9007,1467,2802,4760,7833,8314,8353,5348,4498
-,1537,4737,4986,7337,7899,9636,1180,1074,7385,5016
+,7658,1665,4284,9029,1664,4789,8227,4047,5524,764
+,8657,7835,2360,2354,978,7096,2242,7152,6726,258
+,8374,427,1494,6404,4814,4521,8221,7397,2324,319
+,3299,7935,9445,5090,544,7503,7015,5819,7780,3541
+,9144,6444,2733,2366,6024,3160,7426,4909,460,450
+,4911,6562,9203,4632,4581,2434,8670,5492,2048,7221
+,7668,2405,543,3233,1272,5788,2982,2919,4364,5951
+,6095,5533,6892,2051,8829,5254,1289,1249,6676,7596
+,516,2740,854,6617,6073,3560,6964,452,4188,6484
+,9881,604,1732,5749,2779,5246,4682,3628,7861,3154
-,1458,6959,5517,7824,1934,7201,7389,2491,6922,7733
+,8109,6623,328,693,8118,6347,9914,6780,6467,5289
+,413,6465,2246,1409,2030,279,290,2686,81,2097
+,312,2156,4975,9208,9652,9420,6501,8688,8579,4384
+,7851,3072,7314,2113,1561,5502,2361,2164,7082,1770
+,2261,7326,1667,8481,4100,7210,1473,7274,6654,3003
+,2335,8176,1948,7181,2400,8063,5459,232,815,1613
+,822,9367,47,6790,4490,9752,8952,4643,7188,3771
+,410,4298,5110,2048,3855,8117,4844,5032,2890,6621
+,281,5639,3847,6728,7530,8323,2134,1409,3299,2863
+,4328,3990,5571,1186,9970,8084,2571,1322,688,5041
-,342,6977,4220,743,8789,7768,1116,5314,8195,4526
+,691,7278,9905,6993,3178,916,2035,6521,2513,9459
+,9914,9358,2169,1562,697,7369,6550,5243,1540,4133
+,4363,1713,4307,5561,3378,9633,5060,5332,1105,359
+,706,6821,302,9140,4725,2666,9660,5620,4199,237
+,3036,3576,2927,8411,8284,6373,7459,7478,2926,6702
+,4729,8038,8890,306,9854,3178,6638,8161,8148,3324
+,4610,2858,9642,4847,7997,1341,2305,1816,502,4872
+,3165,289,6031,7104,3631,4419,7873,1441,1741,6451
+,1575,1649,5582,7628,3137,8107,9215,1393,5982,5996
+,6184,4773,3375,8453,562,2729,339,5684,7377,4930
-,3423,6041,598,74,4147,4700,8497,9191,8736,1625
+,2742,2776,4823,9928,4985,7555,650,4139,926,2405
+,3820,8048,1325,7329,7626,6716,3051,5049,2754,5196
+,7562,9782,6295,6412,6111,1837,8657,7726,6093,6811
+,1393,8265,2499,956,3090,3441,8723,4098,5799,3222
+,7259,7149,3737,654,1689,232,142,7018,8051,2192
+,3502,5818,7898,6764,406,2719,5650,7205,533,1431
+,8002,4572,2040,2555,8726,2183,912,9513,1091,5074
+,3590,8008,7091,8528,9203,7735,6882,4461,5234,4371
+,5004,6656,7221,1162,6647,8039,2851,8933,3172,5042
+,2641,8878,2666,6238,3289,9472,688,2972,9530,9137
-,8296,8356,5250,8437,2822,721,9510,6319,3043,7066
+,5897,9469,2152,1439,696,1091,1454,2128,2494,1988
+,9043,503,3274,9963,2454,8327,5599,9347,2457,4013
+,6713,2095,6382,1220,5699,4347,1244,3579,9372,5363
+,7176,2121,6954,835,5692,5020,614,6922,9414,8983
+,7360,6655,2111,4551,2490,6144,5870,2307,3382,7236
+,9542,888,8951,6559,9736,1304,7683,4277,7862,4209
+,8965,7432,6928,1632,1218,1212,1715,809,956,9218
+,7822,3887,2611,963,4666,223,3512,9988,6122,7185
+,968,393,597,1510,9580,2403,3259,2683,6779,4352
+,7723,5487,7220,5609,6194,2469,1749,3577,6560,6525
-,8711,3913,144,475,5271,5371,5818,1552,4391,1063
+,201,6868,7074,3924,6945,2485,1848,9241,6448,6175
+,3586,4368,2831,883,2897,7996,8796,2372,9418,4445
+,9640,2731,8746,477,5278,5414,4474,7002,7838,144
+,2836,8978,5538,3129,1765,6559,249,3078,7146,4231
+,976,8964,6176,245,4693,7264,9744,53,6909,7132
+,5588,4477,9347,4401,3983,7174,1533,7372,4092,9380
+,777,7700,1117,1378,1886,2154,4441,6249,9729,6950
+,247,1109,5814,4054,482,9068,2935,6920,4043,1761
+,9629,8688,170,5262,4754,5596,443,399,7739,1331
+,6753,4958,7100,6849,4458,7833,5969,8609,1566,9065
-,8109,6623,328,693,8118,6347,9914,6780,6467,5289
+,9275,1368,7162,8255,6264,5223,2698,1008,8849,7665
+,450,7955,1932,4838,9673,6038,1335,3148,3951,1466
+,8764,79,6105,9807,4583,9910,1644,5932,5058,3242
+,6632,4824,1109,4214,5629,4022,8649,1154,8116,434
+,1889,9026,3367,3267,8251,5867,3527,369,9417,2372
+,464,3300,877,3866,2093,650,2355,1440,9712,3155
+,9105,7802,779,2966,3320,285,3482,7513,6658,9447
+,8229,7361,3553,5279,895,3492,5142,3941,8536,7931
+,578,6550,9637,6215,4318,1584,4908,8960,1856,2664
+,4316,2939,5745,2097,2788,3485,8767,3684,5131,8887
